ewh_sample_id,sample_uuid_bin,sample_uuid,sample_friendly_name,study_friendly_names,studies_set_up
6943711,...,2af62072-7872-11ec-a00e-fa163eea3084,3429STDY11677649,"Team 112 R&D","2014-12-05 12:01:32"
6943712,...,2af86f9e-7872-11ec-a00e-fa163eea3084,3429STDY11677650,"Team 112 R&D","2014-12-05 12:01:32"
6943713,...,2afabb5a-7872-11ec-a00e-fa163eea3084,3429STDY11677651,"Team 112 R&D","2014-12-05 12:01:32"
6943714,...,2afcfb9a-7872-11ec-a00e-fa163eea3084,3429STDY11677652,"Team 112 R&D","2014-12-05 12:01:32"
6943715,...,2aff3ebe-7872-11ec-a00e-fa163eea3084,3429STDY11677653,"Team 112 R&D","2014-12-05 12:01:32"
6943716,...,2b016518-7872-11ec-a00e-fa163eea3084,3429STDY11677654,"Team 112 R&D","2014-12-05 12:01:32"
6943717,...,2b0382f8-7872-11ec-a00e-fa163eea3084,3429STDY11677655,"Team 112 R&D","2014-12-05 12:01:32"
6943718,...,2b05ae20-7872-11ec-a00e-fa163eea3084,3429STDY11677656,"Team 112 R&D","2014-12-05 12:01:32"
6943719,...,2b07f7f2-7872-11ec-a00e-fa163eea3084,3429STDY11677657,"Team 112 R&D","2014-12-05 12:01:32"
6943720,...,2b0a2c0c-7872-11ec-a00e-fa163eea3084,3429STDY11677658,"Team 112 R&D","2014-12-05 12:01:32"
6943721,...,2b0c6ca6-7872-11ec-a00e-fa163eea3084,3429STDY11677659,"Team 112 R&D","2014-12-05 12:01:32"
6943722,...,2b0eb3b2-7872-11ec-a00e-fa163eea3084,3429STDY11677660,"Team 112 R&D","2014-12-05 12:01:32"
6943723,...,2b111134-7872-11ec-a00e-fa163eea3084,3429STDY11677661,"Team 112 R&D","2014-12-05 12:01:32"
6943724,...,2b135da4-7872-11ec-a00e-fa163eea3084,3429STDY11677662,"Team 112 R&D","2014-12-05 12:01:32"
6943725,...,2b15ae1a-7872-11ec-a00e-fa163eea3084,3429STDY11677663,"Team 112 R&D","2014-12-05 12:01:32"
6943726,...,2b17ecc0-7872-11ec-a00e-fa163eea3084,3429STDY11677664,"Team 112 R&D","2014-12-05 12:01:32"
6943727,...,2b1a2cb0-7872-11ec-a00e-fa163eea3084,3429STDY11677665,"Team 112 R&D","2014-12-05 12:01:32"
6943728,...,2b1c9874-7872-11ec-a00e-fa163eea3084,3429STDY11677666,"Team 112 R&D","2014-12-05 12:01:32"
6943729,...,2b1edddc-7872-11ec-a00e-fa163eea3084,3429STDY11677667,"Team 112 R&D","2014-12-05 12:01:32"
6943730,...,2b211a34-7872-11ec-a00e-fa163eea3084,3429STDY11677668,"Team 112 R&D","2014-12-05 12:01:32"
6943731,...,2b235d44-7872-11ec-a00e-fa163eea3084,3429STDY11677669,"Team 112 R&D","2014-12-05 12:01:32"
6943732,...,2b25b45e-7872-11ec-a00e-fa163eea3084,3429STDY11677670,"Team 112 R&D","2014-12-05 12:01:32"
6943733,...,2b2826f8-7872-11ec-a00e-fa163eea3084,3429STDY11677671,"Team 112 R&D","2014-12-05 12:01:32"
6943734,...,2b2a633c-7872-11ec-a00e-fa163eea3084,3429STDY11677672,"Team 112 R&D","2014-12-05 12:01:32"
6943735,...,2b2c9b8e-7872-11ec-a00e-fa163eea3084,3429STDY11677673,"Team 112 R&D","2014-12-05 12:01:32"
6943736,...,2b2ec616-7872-11ec-a00e-fa163eea3084,3429STDY11677674,"Team 112 R&D","2014-12-05 12:01:32"
6943737,...,2b30f09e-7872-11ec-a00e-fa163eea3084,3429STDY11677675,"Team 112 R&D","2014-12-05 12:01:32"
6943738,...,2b331b1c-7872-11ec-a00e-fa163eea3084,3429STDY11677676,"Team 112 R&D","2014-12-05 12:01:32"
6943739,...,2b35422a-7872-11ec-a00e-fa163eea3084,3429STDY11677677,"Team 112 R&D","2014-12-05 12:01:32"
